"","sample","id","sign","text"
"15",15,589736,"Aries","   To be fair, Duellacathata didn't directly frame the party; that was (supposedly) the desire of K'Sh'Aal (or, rather, his/her/its representative).  Duellacathata just wanted Falchez dead and buried in his family's magically sealed tomb.  Or so she claimed.  Ashes, of course, tell no tales. "
"16",16,589736,"Aries","   i'm going to stick with Ian, for now.  but having the choice is quite cool.   welcome, scott!  glad you were able to get in this time.  let me know if you have any further trouble.  any chance we could just teleport to the dragon's graveyard, and then teleport back?  'cause *damn* it's a long way back south, in the opposite direction of everything else we want to see, even by way of the cave network previously mentioned...  after we find out about castillian, i say we:  - clear our names, expose the conspiracy, report the lizard men sighting - determine burne's fate - go destroy the keech fields and, maybe, lividia - find a big enough city where we can all train and otherwise increase our skills  not necessarily in that order, but close enough.  was the Hand mentioned as possibly being involved in our current predicament, in regards to the murder we've been accused of?  can't *believe* that Zhenterem bitch killed that banker and framed us for the murder,  just so she could raise him from the dead to steal from his own deceased grandmother.  way to go, rhanellus!  burn baby burn...   "
"17",17,589736,"Aries","   Once the party discovers what happened to Castillion (a mystery that technically matters directly to only two present characters -- Gregory and Ian), the group will be at an interesting crux:  What Next?  The party is now international in membership, and global (and beyond) in awareness of The World.  The mysteries and challenges that have been placed on the table are definitely different from how the story began.  This may be frustrating to some, and I understand the desire for simplicity (Let's Just Get The Ring to Mount Doom), but it was always my intention to create a broad, organic world within which various characters could pursue adventure and glory.  I had done the Single Through-Line campaign before; I was interested in trying something with fewer (if any) boundaries.  The catch, though, is that the game began with certain set archetypes, if you will -- various Local Yokels and a couple of Wild Cards who set out to figure something out -- and those archetypes may, very reasonably, strain a bit at the edges as they move beyond the comfort zone of what they originally intended and expected to do.  Which is kind of my point -- what do the players feel about their characters' comfort zones?  Of the current party, Fennie and Connor are the most likely to pursue adventure for its own sake.  Rhanellus has a personal journey to take that seems, at the moment, to be connected to the Big Picture in some unknown way.  Adan has a spiritual calling to Right What Has Been Changed, and it is natural for him to roam the world on that quest.  Luc, like Rhanellus, has a personal journey that seems linked somehow to the events of the world -- specifically, the often-mentioned return of the Demon Kings.  But then, there are other issues:  Connor would probably like to find the other two thirds of the Codex one day; Fennie would like to put this map to the Dragon's Graveyard to use before she dies; Luc would like to know who made her a 'key,' and can it be undone; and Rhanellus wants to go wherever clues lead him to his own self-knowledge.  Each of these goals is, unlike the World In Crisis situation, not only individual and unique, but geographically diverse -- to the point:  Candlekeep, the Citadel of the Raven, the mountains on the other side of the Dalelands, Cormyr, Zhentil Keep, and the distant land of Thay.  Talk about an Indiana Jones red line map crawl.  And then:  What of Gregory?  Does he feel a pull to move beyond his comfort zone, or is it a natural evolution for him to remain in the Central Heartlands of Faerun, patrolling the darkness that lurks therein?  Likewise, what of Ian?  Should he return to the monastery and report what he has learned, or is he a free agent?  I'm not declaring anything here -- just sharing some observations from this side of the screen.  What we have now is the result of something I have personally always wanted to do, but never tried -- a game world that spans centuries, nations, and even continents and oceans.  There is room for everyone, and for every player in the saga, Glory Awaits.  But what Glory will that be?  The Local Hero?  The Regional Hero?  The Hero of the Land?  The Hero of a World?  Or the Hero of the Multiverse?  Certainly questions worth thinking about.  As I mentioned in the previous post, all characters are welcome to follow their path to Glory from the point where they started.  Likewise, players are free to create new heroes should their characters evolve onto a path unique to themselves.  Unless a character dies, everyone who has been in the world will still be an active and prominent participant in the world, even if they are not represented in a game session.  Boris Borovich and Burne Trinson are out there even now, making choices that matter.  The same could be said of any character that chose to veer off on his or her own.  Personally, I like all the characters.  I enjoy their choices and their actions, both their desires and the things they don't really give a flying fig about.  All are welcome to do as they please, as they follow their own Road to Glory.  "
"18",18,589736,"Aries","   Referring to Johnathan's post, I think that the party clearly does not have the same goals.  This is fine, mind you, but needs pointing out none the less.  Personally, I just don't feel that Gregory has evolved enough within himself to be able to broaden the lens/scope for him.  He is still very much following his own set of goals.  Some of which are shared by other party members, such as finding Castillion, but like the majority of the party, he seems to have his own agenda.   "
"19",19,589736,"Aries","   [ Mon Oct 06, 05:44:17 PM | hot chocolate ]  oh burne, how i miss thee and thine control over ye big mouthed monk.   [ Mon Oct 06, 04:19:35 PM | Harmony Baggins ]  ...and so it was that Burne lived out his years, with wife and kids, in the land of Chesterfieldius.   In case you're curious: after pursuing various leads regarding both their recent memory loss and the murder they are suspected of committing, the party has made a curious and partially unexplained bargain with several Illithids, who promise to restore their memories -- an act which may resolve several questions, one of which being the location and activities of the missing Burne.   [ Mon Oct 06, 03:22:03 PM | John Robinson ]  RTG Notebook My famous/infamous notebook is currently enroute to Mr. Haley via a courier who will exchange for some SG-1 DVDs when he next attends a non-cancelled Hand of Shiva session. Good journey.  "
"20",20,589736,"Aries","   To paraphrase JMS of B5 fame, one might consider this the story of a platoon in WWII.  Whatever happens to the platoon, the story of WWII goes on, often dwarfing the individual soldier.  Perhaps the best one can hope for is to be present at Midway, or help raise the flag on Iwo Jima, or be the bombadier on the Enola Gay.  Regardless, there are two valid choices:  either to focus only on one's own mission and interests, or to expand that focus to include the scope and detail of the war in part or in its entirety.  What the player finds entertaining, rewarding, and manageable is often defined by what he or she chooses to be specifically relevant to the character.  Of course, in a party of seven characters, there are seven separate lists of what is relevant.  If one is to remain with a party and not go off on one's own -- which would be perfectly acceptable, except that it would result in leaving the game -- there is an argument to be made for being aware of what the other six individuals deem relevant to them.  Otherwise, one is watching choices without clear motivation, and the result can be a frustrating chaos.  Thus, the list of what one needs to know to function within the story grows a little bit longer.  And so on.  By the way, as a general note:  If any player starts to feel that his or her character *would*, at some point, decide that it's more logical to leave the party and pursue his or her own agenda, it is perfectly acceptable for the player to create another character that will join the party and take the previous character's place.  There's no rule that says you must stay with one character throughout.  Once provided with the player's basic guidelines/requests, I would NPC the character Somewhere Out In The World until such a time that the player wanted that character to return.  Alternately, the path of the absent character might later intersect with the party again, and for a time the player could play both until one left again (hopefully this would only be a session or two.)  Anway -- just a random thing to toss out there.  Even though it began as a simple mystery of What Happened to Father Castillion, the camera has pulled back far enough now that almost all the world is in play.  Thus my interest in launching some side games that occur elsewhere in the world's history.  This post, like many stories, seems to have grown with the telling.  I'll stop now.  "
"21",21,589736,"Aries","   dude, i have no idea where that notebook is now but i get your point.  i can keep most of it in my head, it's just such an epic  and i have such a hard time pronouncing the names!   "
"22",22,589736,"Aries","   [ Mon Oct 06, 12:11:48 PM | hot chocolate ]  and the cast still remaining from the first season are:  Scott Moran (Gregory)  Miriam Maddux (Luc)  Ben Haley (Brother Ian)  Jimi Harrell (Rhanellus)   the scoobys   and of course, the god of us all, Johnathan Shipley.   [ Mon Oct 06, 11:28:50 AM | Harmony Baggins ]  Early 2001. A little over two years, I think.   [ Mon Oct 06, 10:00:10 AM | hot chocolate ]  how many years have we've been playing now?    [ Mon Oct 06, 09:11:03 AM | Harmony Baggins  ]  Thanks, chocolate. Though a game isn't any good without players to make it so.   [ Sun Oct 05, 07:46:58 PM | hot chocolate ] great game johnathan!  "
"23",23,589736,"Aries","   Perhaps you can make notes to yourself during the game, as John did.  I supplied notebooks and folders to everyone at the beginning of the campaign for that purpose. "
"24",24,589736,"Aries","   very interesting but hard to keep in head all at once.   "
"25",25,589736,"Aries","    Small Picture   - murder rap - lack of identification papers / peace-bonded weapons - K'Sh'Aal - lost 11 days - where's Burne - good/bad Red Plumes - Plume patrol emitting magic aura during battle - Red Plumes defeat orc army twice their size; word spreading beyond Hillsfar - Plume soldier addicted to keech; possible source = Lividia?; link with Boragard and the Bullyboys? - K'Sh'Aal = 'K'? - Esseneth, Luc, and a book you can't put down - Lizard Men under the city - memory flashes of possible forgotten places/events - curious tracks in rooms = possible lead in abandoned area of Civic District - Ethelred, during battle, notes that Rhanellus has two souls...? - Connor's contacts in Hillsfar = info? - How did the party acquire the antidote? - Who wounded Rhanellus and Ian?    Big Picture   - Zhentarim; Zhentil Keep; possible civil war? - Cormyr vs. Sembia:  Spring = War? - Dragon's Graveyard: worth going to right now? - Thulos - Yoggoth - Harpers - Strife between Drow Houses in the Underdark - Arabel (default capital of Cormyr), Lady Myrmeen, the Order of the Shining Dawn, Tilverton threat? - Castillion's fate: still relevant? - Threat from the East? - Demons/Demon Kings rising or returning? - Giants gathering north of the Citadel of the Raven? - Zhentarim interests:  black powder, dead giants, crystal swords, time control, demonic sites - Fate of the Obliat - The Shadow of Semerius / Dragons - Fairies and Dragons = the first beings on Teranel? - Curious historical discoveries - Connor's Codex is one volume of three - Mystra's Tear, magic's wane - Where did the Elves go, and will they return? - The Hand and Master Po - What is Calleum doing in the Great Dale? - What army will Gregory lead; did the girl in Shadowdale truly have a gift? - Rhanellus attaked his son...? - Luc is a gift and a key = Shaddath? - What was going on at Adbar / Hellgate Keep? - Can Teranel be restored to whence it was taken?  Just some things to ponder. "
"26",26,589736,"Aries","   greetings, RPG'ers.  these two new blogs for 'glory' and 'shiva' have been designed for discussion about the respective games.  this will provide a place for us to discuss our characters, the current plot threads, and perhaps even come up with some answers to the puzzles that have been presented to us.  it may also serve as a way for the respective Game Masters to get a feel of where the group is heading.  my original and grander plans for 'ahvanet' may be on hold indefinitely; rather than wait until the whole thing comes together, i decided to go ahead with the blogging portion.  please keep the random tomfoolery to a minimum, so that we can maintain focus; we've got 'circle of irony' for that! "
"27",27,589736,"Aries","   god hates his day job "
"28",28,589736,"Aries","   Testing...1.....2....3......tap,tap,tap. Hey! is this thing on? Hello.... "
"29",29,589736,"Aries","   yo, yo, yo homeslices! "
"30",30,589736,"Aries","   Hey folks -- check your email!  No game today.  Apologies to all, explanations within. "
"31",31,589736,"Aries","   i will be there for the entire game this week.  woo hoo "
"32",32,589736,"Aries","   Even funnier if you replace the guys with a drow, a beholder, and an illithid. "
"33",33,589736,"Aries","   joke moved to circle of irony  err...actually not.  forget it ever existed  These are not the droids you're looking for.    "
"34",34,589736,"Aries","   i will be at the next game! "
"35",35,589736,"Aries","   The road to glory is currently a quiet one, it seems.  Welcome, Rahn'Keth.  I'm your private dancer. "
"36",36,589736,"Aries","   Hey!  You buckle your swashes someplace else, pal!  This is a family friendly joint! "
"37",37,589736,"Aries","   man, that was like one of the best games ever....  "
"38",38,589736,"Aries","   this is what i also look for in relationships:  No More Messy 'Inky' Towels and Hands  *   Easy Break Down and Assembly  *   Customizing Evolving Map  *   Standard One Inch (1') Grids "
"39",39,589736,"Aries","   this makes me want to run a dungeon crawl again:   urlLink tact-tiles  "
"40",40,589736,"Aries","    RTG Party 1.0   (*) indicates Blood of Tilvernus  - Burne Trinson*, Paladin of Heironeous, of Tilverton - Brother Ian, Monk, of Tilverton - Boris Borovich*, Fighter, of Tilverton - Gregory Sendant*, Ranger/Fighter, of Tilverton - Luc, Bard, of Cormyr - Rhanellus, Sorcerer/Fighter, heritage unknown   RTG Party 2.0    changes:  Boris Borovich returns to Tilverton; Connor joins in Shadowdale  - Burne Trinson, Paladin of Heironeous - Brother Ian, Monk - Gregory Sendant, Ranger/Fighter - Luc, Bard - Rhanellus, Sorcerer/Fighter - Connor McClaren, Rogue/Wizard, of Hillsfar   RTG Party 3.0    changes: Fennie joins in the Underdark  - Burne Trinson, Paladin - Brother Ian, Monk - Gregory Sendant, Ranger/Fighter - Luc, Bard - Rhanellus, Sorcerer/Fighter - Connor McLaren, Rogue/Wizard - Hermione Fenwick, Rogue, of Sembia   RTG Party 4.0    changes:  Burne departs for Rashemen; Gregory acquires new talents; Adan joins in Hillsfar  - Brother Ian, Monk - Gregory Sendant, Ranger/Fighter/Druid - Luc, Bard - Rhanellus, Sorcerer/Fighter - Connor McLaren, Rogue/Wizard - Hermione Fenwick, Rogue - Adan, Cleric of Fharlangn, of the Great Dale   RTG Party 5.0    changes:  Brother Ian and Gregory choose to deliver news to Tilverton; three as-yet unknown heroes join  - Luc, Bard - Rhanellus, Sorcerer/Fighter - Connor McLaren, Rogue/Wizard - Hermione Fenwick, Rogue - Adan, Cleric of Fharlangn - Unknown #1 - Unknown #2 - Unknown #3  Party 5.0 will represent 8 different geographic regions of Faerun -- none of them Tilverton.  Also, the Blood of Tilvernus is no longer present.  Only two witnesses remain of the Winter's Edge festival that initiated the long road to glory.  Including the three new additions, the campaign has produced 12 unique player characters so far.  What new, future souls may join the present struggle remains to be seen. "
"41",41,589736,"Aries","   ...but the spirit of the fellowship remains, so long as we hold true to the purpose of the one we sought and found.  Castillion's path is much like our own; he left his home with small but noble intent, but now walks a much longer road, towards a goal of global (cosmic?) significance.   "
"42",42,589736,"Aries","   Having acquired the proof needed to clear themselves of the murder charge, the party accepted an offer from the shadowy K'Sh'Aal to eliminate the would-be crimelord who framed the party.  Given the discovery made after the raid on Grieson's heavily protected auction, it is unclear if the party succeeded.    Meanwhile, Ian and Gregory have decided to return to Tilverton to deliver an altered version of events:  namely, that Castillion died in Shadowdale, when in fact he did not.  On the eve of a rumored message arriving from the East, the party has been invited to join the mysterious Harpers; it is unknown if they will accept.    What is known is that the original fellowship that departed from Tilverton is broken, and that three strangers may be joining the remaining heroes as they take their first steps towards entering the ranks of those who hope to achieve the healing -- or, perhaps, the ultimate restoration -- of Faerun.  "
"43",43,589736,"Aries","   It's always nice when you find something...and it is free!  Go to  urlLink www.wizards.com  and click on the red dragon that says 'D&D'.  Then on the next screen on the left under Articles, scroll down and click on 'Foldup Paper Models'.  This is just fucking awesome.  Scott "
"44",44,589736,"Aries","   /cricketts chirping in the distance "
"45",45,589736,"Aries","   yeah, i don't know why people don't go to this site -  "
"46",46,589736,"Aries","   Even the crickets have stopped chirping.... "
"47",47,589736,"Aries","    yuggoth  - fungi demon lord?  starting to invade higher reaches of underdark.  why?  possibilities:  - demons in general emboldended by wane of magic and the rise of human conflict; seeking to take advantage of both  - freed from imprisonment from magical ward, failed now from magic's wane / seismic activity / zhenterum foolishness  - seeking to infect at least one creature which might be able to leave local group, thereby preserving its essence prior to when the thulos / cthulhu conflict comes to a head  - fleeing from something worse down below    ian  - not of the blood of tilvernus - not of this world? - union of father castillian and sister jara.  castillian in ethereal plane.  is he not of the blood of tilvernus as well?  is he from beyond the local group?  and/or sister jara?  master po knows more of ian's  - heritage?  potential?  origins?   will possibly guide ian to greater power / energy / etc.   manticore cave from 2 years prior - what was the object that master po picked up?  where (when?) was the place we had been transported to?   other caves with manticore imagery - suggested human presence long before what was know - some caves were gone when we tried to visit them again.   possible connection with original manticore cave?  displacement of time and space?   group has been  teleported  on several occasions through time and space. how?  possibilities:  -  zhenterum  meddling (at least one chronomancer exists; maybe more?)  - general instability of faerun magically / physically due to 'local group' issue  - someone in the group - nexus of some sort?  luc?  rhanellous?   what happened to the  obliat ?  connection to dragon's graveyard?  have others tried to get it before, or to graveyard?  such as: zhenterum, shadow of simerius, demon lords?   what happened to all the  dragons ?  if dragons and faeries were the first inhabitants of faerun, what were the next?  when did manticore appear?  manticore from somewhere else?  did this happen before or after the removal of faerun from the prime material plane into the local group?   where did the  elves  go?  did they know about the local group situation?  did it predate their depature from the human occupied lands?   was there a falling out between their race and the drow?   how do the  illithids  figure into all this?  there are apparently evil and less evil (benevloent?) kinds - do they truly seek to rule faerun?  if so, how?  what if any allies to they possess?  zhenterum and harpers have much ancient and magical knowledge - will / have the illithids attempt to join / ally / subvert / infiltrate / destroy either group to further their own ends?   is  party X  good or evil? sinister or just meddlesome?  do they possess power to be reckoned with?  have the zhenterum approached them?   can  lividia  be beaten by the likes of us, or should we ally ourselves with others before taking her on?   all those of the  blood of tilvernus  in the group have departed said group.  coincidence?   this bloodline is physically powerful in at least one way:  used it to permanently seal the 'beast' in the ruined tower(?) near shadowdale.   will the blood be used again for similiar uses?   is anyone seeking us out for this very reason?  was tilvernus a god, demi-god or powerful hero?  when did he walk faerun - before or after the creation of the local group?  what others of his ilk strode our lands in times past?   what are the  harpers ' true intentions?   are they any better than the zhenterum?  seem more benevolent, compassionate - connection to aden's patron deity?  is ian becoming / considered as a harper, by virtue of wearing the pin?  "
"48",48,589736,"Aries","           in case anyone wishes to know, i did get accepted into the english grad program. but i didnot get the t.a. position which really, really sucks.   so, it seems i won't be getting my m.a. from vcu and i'm off to law school.  any advice fellow travelers?         "
"49",49,589736,"Aries","           baak?         "
"50",50,589736,"Aries","           it is possible that we can move beyond the past and create a new world that no longer has the dark cast of demons and ghosts?  is it possible to forgive and still love anew?  am i a phoenix rising from the ashes or just a soot-covered fool?         "
"51",51,589736,"Aries","           in response to ben's journal entry -  even though what we are doing may have no real significance and no will ever know the actions we will perform this day, it is still important that we do them.           "
"52",52,589736,"Aries","           this article discusses the american support of and the merits of torture used on political detainees.  http://www.thenation.com/doc.mhtml?i=20020513&s=schulz         "
"53",53,589736,"Aries","           enjoy.  http://www.knology.net/~carlos/redneck.htm           "
"54",54,589736,"Aries","           The poet is in command of his fantasy, while it is exactly the mark of the neurotic that he is possessed by his fantasy.         "
"55",55,589736,"Aries","           it's odd and sad - mary magdalene is here but where are peter and judas?         "
"56",56,589736,"Aries","           nobody reads this damn thing anyway, so i'll attempt to be poetic (and also because johnathan challenged me once long ago about knowing the meaning of love).  when we love and we feel that sense of spiritual understanding, that interweaving of self, and we hold each other and cry.  crying for joy because of what we have been given, the gift that we sense so few have had, and crying knowing that death, time, or own forgetfulness of that moment will take it away.   we argue about the petty, meaningless issues that make up our justification for an existence and forget the times when we were angels - and knowing that was all that mattered.  we look back in our lives and laugh.  laugh because of the love that we have encountered, the beauty we have seen and for each ending we know there is a beginning and the understanding that the cycle will continually renew.  or as john lennon would put it - 'why on earth are we here?  surely not to live in pain and fear.  why are earth are you over there?  when you're everywhere.  come and get your share.'  so, it's late, and that is my opinion about love ....         "
"57",57,589736,"Aries","           figured it out - hee hee.  hit the team button.  then select your name and it will take you to your stats for your name.  then on the right hand corner there is a button that says 'edit your profile' where it will take you to a screen so you can change your screen name,  etc.            "
"58",58,589736,"Aries","           hmm.. when i refresh the site the new messages come up - okay time to stop hitting the bong...         "
"59",59,589736,"Aries","           les in order for your post to be on the site you need to hit post&publish....           "
"60",60,589736,"Aries","             OK, OK, I finally joined! - Leslie         "
"61",61,589736,"Aries","           mmm.. maybe could ben could explain better...         "
"62",62,589736,"Aries","           alright scott what you want to do is go to team         "
"63",63,589736,"Aries","           Ah, crap.   It is posting my name and not my selected screen name.  Blast this new fangled technology!         "
"64",64,589736,"Aries","           So how does this damn thing work anyway?         "
"65",65,589736,"Aries","           aye, tree.  happy birthday mr. bach.  may you not have a rabbit jump out and strangle you as you utter the words 'why george why?'         "
"66",66,589736,"Aries","           It's been over 90 degrees the past two days in the big apple. The a/c at work is broken. Ah, April (see post 4/6...).   Happy birthday eve, BACH.         "
"67",67,589736,"Aries","           once again the freedom of speech is protected by the supreme court - and the biggest shocker of all thomas did not vote with scalia!!!!!!  http://www.salon.com/news/wire/2002/04/16/sc_childporn/index.html         "
"68",68,589736,"Aries","           a great headline - and yes it is from one of those liberal rags that i read  if you don't get it (the headline) pls write your name, address, and phone number on a postcard tie your arms and legs together and throw yourself into the ocean...  'Work to Salvage Racism Conference'         "
"69",69,589736,"Aries","           welcome, mark!  no, as ms. tree has already addressed, i am not in NYC.  i still call kip in richmond, though currently i'm on walkabout for first union - i'm training Wachovia brokers on how to use our new hardware and software at various branches in Georgia and the Carolinas.  welcome also brother Jason - silent for now, no doubt with fingers steepled, waiting patiently in the shadows for the right moment to STRIKE.  either that, or he took one look at the blog and fled in a mixture of terror and disgust (these same people  again?!? ;)         "
"70",70,589736,"Aries","           you guys have got to love this article - he not only says lucas has no talent, that star wars is a bunch of rubbish but also that joseph campbell just sounds erudite but is really a gas bag.  http://www.salon.com/ent/movies/feature/2002/04/10/lucas/index.html          "
"71",71,589736,"Aries","           i'm going to move in with you tree.  so save me a space on your sofa - i'm going to write and make documentaries and  eat dryer lint.    hey, at least you are making a living doing what you love.          "
"72",72,589736,"Aries","           No, Mark, Tree lives in NYC. And it's suddenly cold; but since it's April ('springtime in Germany...') we'll have nice weather again at a moment's notice. --And the cult-cha! Sister, I'm telling you this place is crawling with it. Ironically, I am now working at the costume shop that made the white Elvis-style jumpsuit for Britney Spears' Las Vegas concert PR campaign (she sent us a signed poster of herself in it recently). So much for the highbrow artsy theatre stuff. Sigh.         "
"73",73,589736,"Aries","           Ben, does this mean that you're now living in New York?  I never seem to hear about anything that happens on the east coast anymore.         "
"74",74,589736,"Aries","           wasn't it just 70 degrees in NY?  It must be so exciting to live up there - with all the culture...         "
"75",75,589736,"Aries","           me again, with more advice on happy blogging.   the best page to bookmark (and the only one you need) is  http://yelahneb.blogspot.com .  from here, you can read what's up, and then if you decide to post something, you can click on the  click here to login and post  link on the left side (this takes you to www.blogger.com).  from there, login to 'circle of irony', type in your words of wisdom, click on 'post & publish', and then click on the  view web page  link in the left and center of the page to see how what you've written looks like on the blog (alternatively, you can just refresh the  yelahneb.blogspot.com page ).   REMEMBER:   don't forget to 'post' AND 'publish' your missives (there's also a single  'post & publish'  key).  if you only click on 'post' and not 'publish', the sysop (me) has to come in behind you and 'publish' your text - otherwise, it doesn't show up on the blog.  everyone wants to read what you have to say - don't deny us!  ;)         "
"76",76,589736,"Aries","           Snow flurries happening.         "
"77",77,589736,"Aries","           hello group - now that i'm starting to get the hang of writing HTML, please post any suggestions you might have about the look of the site - things like font size, color, etc.  for that matter, if any of you are having trouble with logging on, posting, etc., please email me.  also - for those wanting to look cool and clever, you can have whatever hip 'handle' you want on the blog.  that way all you shadowrunners can remain pseudo-anonymous!     to change your handle:   while you're on the 'post and publish' side of the blog, click on 'team', click on your name, and then click on 'edit your profile' in the top right hand corner.  if you want a single word for your handle, just choose a character of some sort (like a ! or a number or something similar) for your first name, and enter your handle in the last name field (you have to do it this way because Blogger forces you to fill out both name fields).  of course, you're entirely welcome to go by your actual name, but that's soooo 20th century.  ;)    while you're on this screen, go ahead and set your time zone to EST if you haven't already.  you can put in a relevant email addy for yourself if you wish, but it isn't necessary.         "
